Entity,Day,total_vaccinations
Delaware,3/24/21,397204
Delaware,3/25/21,406635
Delaware,3/26/21,417566
Delaware,3/27/21,428136
Delaware,3/28/21,438768
Delaware,3/29/21,447568
Delaware,3/30/21,453447
Delaware,3/31/21,463476
Delaware,4/1/21,473912
Delaware,4/2/21,485988
Delaware,4/3/21,498720
Delaware,4/4/21,508590
Delaware,4/5/21,516432
Delaware,4/6/21,519065
Delaware,4/7/21,528053
Delaware,4/8/21,536623
Delaware,4/9/21,549853
Delaware,4/10/21,561531
Dept of Defense,1/12/21,139439
Dept of Defense,1/13/21,139993
Dept of Defense,1/14/21,179724
Dept of Defense,1/15/21,201485
Dept of Defense,1/19/21,254778
Dept of Defense,1/20/21,256867
Dept of Defense,1/21/21,274473
Dept of Defense,1/22/21,292490
Dept of Defense,1/23/21,311567
Dept of Defense,1/24/21,336450
Dept of Defense,1/25/21,346180
Dept of Defense,1/26/21,346180
Dept of Defense,1/27/21,366010
Dept of Defense,1/28/21,389927
Dept of Defense,1/29/21,415720
Dept of Defense,1/30/21,449958
Dept of Defense,1/31/21,481172
Dept of Defense,2/1/21,485125
Dept of Defense,2/2/21,490377
Dept of Defense,2/3/21,508965
Dept of Defense,2/4/21,530849
Dept of Defense,2/5/21,559379
Dept of Defense,2/6/21,588731
Dept of Defense,2/7/21,621487
Dept of Defense,2/8/21,632927
Dept of Defense,2/9/21,637359
Dept of Defense,2/10/21,657414
Dept of Defense,2/11/21,679431
Dept of Defense,2/12/21,701736
Dept of Defense,2/13/21,726338
Dept of Defense,2/14/21,751746
Dept of Defense,2/16/21,754935
Dept of Defense,2/17/21,759117
Dept of Defense,2/18/21,791494
Dept of Defense,2/19/21,810065
Dept of Defense,2/20/21,830843
Dept of Defense,2/21/21,854728
Dept of Defense,2/22/21,865896
Dept of Defense,2/23/21,868322
Dept of Defense,2/24/21,887011
Dept of Defense,2/25/21,907189
Dept of Defense,2/26/21,928797
Dept of Defense,2/27/21,957910
Dept of Defense,2/28/21,992748
Dept of Defense,3/1/21,995054
Dept of Defense,3/2/21,996120
Dept of Defense,3/3/21,1017839
Dept of Defense,3/4/21,1039783
Dept of Defense,3/5/21,1065268
Dept of Defense,3/6/21,1094565
Dept of Defense,3/7/21,1130833
Dept of Defense,3/8/21,1141841
Dept of Defense,3/9/21,1320734
Dept of Defense,3/10/21,1343861
Dept of Defense,3/11/21,1374234
Dept of Defense,3/12/21,1403967
Dept of Defense,3/13/21,1439663
Dept of Defense,3/14/21,1439663
Dept of Defense,3/15/21,1495339
Dept of Defense,3/16/21,1506702
Dept of Defense,3/17/21,1531345
Dept of Defense,3/18/21,1562724
Dept of Defense,3/19/21,1593498
Dept of Defense,3/20/21,1630049
Dept of Defense,3/21/21,1673652
Dept of Defense,3/22/21,1679133
Dept of Defense,3/23/21,1682536
Dept of Defense,3/24/21,1694545
Dept of Defense,3/25/21,1712296
Dept of Defense,3/26/21,1785851
Dept of Defense,3/27/21,1827620
Dept of Defense,3/28/21,1873990
Dept of Defense,3/29/21,1886141
Dept of Defense,3/30/21,1895711
